"","ZIPCode","Neighborhood","Community.Area","Community.Area.Name","Diabetes.related","Per.Capita.Income","Unemployment","2010Pop","Birth.Rate","General.Fertility.Rate","Low.Birth.Weight","Prenatal.Care.Beginning.in.First.Trimester","Preterm.Births","Teen.Birth.Rate","Assault..Homicide.","Breast.cancer.in.females","Cancer..All.Sites.","Colorectal.Cancer","Diabetes.related.1","Firearm.related","Infant.Mortality.Rate","Lung.Cancer","Prostate.Cancer.in.Males","Stroke..Cerebrovascular.Disease.","Childhood.Blood.Lead.Level.Screening","Childhood.Lead.Poisoning","Gonorrhea.in.Females","Gonorrhea.in.Males","Tuberculosis","Below.Poverty.Level","Crowded.Housing","Dependency","No.High.School.Diploma"
"11",60608,"MCKINLEY PARK",30,"South Lawndale",65,10697,11.5,16654,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7
"12",60608,"NEAR WEST SIDE",30,"South Lawndale",65,10697,11.5,16654,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,"106.8",7.9,28.1,17.6,33.1,58.7
"13",60608,"LOWER WEST SIDE",31,"Lower West Side",61.9,15467,13,34380,16.5,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3
"14",60608,"SOUTH LAWNDALE",31,"Lower West Side",61.9,15467,13,34380,16.5,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3
"15",60608,"BRIDGEPORT",31,"Lower West Side",61.9,15467,13,34380,16.5,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3
"16",60608,"MCKINLEY PARK",31,"Lower West Side",61.9,15467,13,34380,16.5,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3
"17",60608,"NEAR WEST SIDE",31,"Lower West Side",61.9,15467,13,34380,16.5,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589,0.8,92.3,"78.7",11.4,27.2,10.4,35.2,44.3
"18",60608,"LOWER WEST SIDE",59,"McKinley Park",61.4,17577,11.9,6594,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8
"19",60608,"SOUTH LAWNDALE",59,"McKinley Park",61.4,17577,11.9,6594,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8
"20",60608,"BRIDGEPORT",59,"McKinley Park",61.4,17577,11.9,6594,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8
"21",60608,"MCKINLEY PARK",59,"McKinley Park",61.4,17577,11.9,6594,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8
"22",60608,"NEAR WEST SIDE",59,"McKinley Park",61.4,17577,11.9,6594,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8
"23",60608,"LOWER WEST SIDE",28,"Near West Side",62.3,41488,10.7,7667,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2
"24",60608,"SOUTH LAWNDALE",28,"Near West Side",62.3,41488,10.7,7667,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2
"25",60608,"BRIDGEPORT",28,"Near West Side",62.3,41488,10.7,7667,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2
"26",60608,"MCKINLEY PARK",28,"Near West Side",62.3,41488,10.7,7667,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2
"27",60608,"NEAR WEST SIDE",28,"Near West Side",62.3,41488,10.7,7667,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2
"28",60608,"LOWER WEST SIDE",29,"North Lawndale",99.2,12548,18.5,2283,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,"2236.3",9.3,38.6,7.2,40.9,30.4
"29",60608,"SOUTH LAWNDALE",29,"North Lawndale",99.2,12548,18.5,2283,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,"2236.3",9.3,38.6,7.2,40.9,30.4
"30",60608,"BRIDGEPORT",29,"North Lawndale",99.2,12548,18.5,2283,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,"2236.3",9.3,38.6,7.2,40.9,30.4
"31",60608,"MCKINLEY PARK",29,"North Lawndale",99.2,12548,18.5,2283,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,"2236.3",9.3,38.6,7.2,40.9,30.4
"32",60608,"NEAR WEST SIDE",29,"North Lawndale",99.2,12548,18.5,2283,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,"2236.3",9.3,38.6,7.2,40.9,30.4
"33",60608,"LOWER WEST SIDE",60,"Bridgeport",49.8,24969,11.2,15161,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6
"34",60608,"SOUTH LAWNDALE",60,"Bridgeport",49.8,24969,11.2,15161,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6
"35",60608,"BRIDGEPORT",60,"Bridgeport",49.8,24969,11.2,15161,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6
"36",60608,"MCKINLEY PARK",60,"Bridgeport",49.8,24969,11.2,15161,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6
"37",60608,"NEAR WEST SIDE",60,"Bridgeport",49.8,24969,11.2,15161,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6
"38",60609,"NEW CITY",35,"Douglas",119.1,23098,16.7,386,10.3,42.2,11.7,76,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1,482.2,0,1063.3,"727.4",4.2,26.1,1.6,31,16.9
"39",60609,"MCKINLEY PARK",35,"Douglas",119.1,23098,16.7,386,10.3,42.2,11.7,76,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1,482.2,0,1063.3,"727.4",4.2,26.1,1.6,31,16.9
"40",60609,"FULLER PARK",35,"Douglas",119.1,23098,16.7,386,10.3,42.2,11.7,76,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1,482.2,0,1063.3,"727.4",4.2,26.1,1.6,31,16.9
"41",60609,"NEW CITY",38,"Grand Boulevard",82.6,22056,20.6,812,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39,46.7,590.4,1,1454.6,"1680",13.2,28.3,2.7,41.7,19.4
"42",60609,"MCKINLEY PARK",38,"Grand Boulevard",82.6,22056,20.6,812,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39,46.7,590.4,1,1454.6,"1680",13.2,28.3,2.7,41.7,19.4
"43",60609,"FULLER PARK",38,"Grand Boulevard",82.6,22056,20.6,812,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39,46.7,590.4,1,1454.6,"1680",13.2,28.3,2.7,41.7,19.4
"44",60609,"NEW CITY",34,"Armour Square",42.5,16942,11.6,906,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,490.3,0.2,222.6,"218",22.7,35.8,5.9,37.9,37.5
"45",60609,"MCKINLEY PARK",34,"Armour Square",42.5,16942,11.6,906,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,490.3,0.2,222.6,"218",22.7,35.8,5.9,37.9,37.5
"46",60609,"FULLER PARK",34,"Armour Square",42.5,16942,11.6,906,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,490.3,0.2,222.6,"218",22.7,35.8,5.9,37.9,37.5
"47",60609,"NEW CITY",58,"Brighton Park",69.7,13138,11.2,246,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,"52.7",11.5,23,13.2,39.8,48.2
"48",60609,"MCKINLEY PARK",58,"Brighton Park",69.7,13138,11.2,246,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,"52.7",11.5,23,13.2,39.8,48.2
"49",60609,"FULLER PARK",58,"Brighton Park",69.7,13138,11.2,246,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,"52.7",11.5,23,13.2,39.8,48.2
"50",60609,"NEW CITY",61,"New City",83.7,12524,17.4,44377,21.4,93.4,11.8,75.9,12.2,94.3,26.6,23.6,235.2,29.2,83.7,24.6,7.9,69.4,40.7,50.2,555,0.8,1052.6,"579.7",9.3,30.6,12.2,42,42.4
"51",60609,"MCKINLEY PARK",61,"New City",83.7,12524,17.4,44377,21.4,93.4,11.8,75.9,12.2,94.3,26.6,23.6,235.2,29.2,83.7,24.6,7.9,69.4,40.7,50.2,555,0.8,1052.6,"579.7",9.3,30.6,12.2,42,42.4
"52",60609,"FULLER PARK",61,"New City",83.7,12524,17.4,44377,21.4,93.4,11.8,75.9,12.2,94.3,26.6,23.6,235.2,29.2,83.7,24.6,7.9,69.4,40.7,50.2,555,0.8,1052.6,"579.7",9.3,30.6,12.2,42,42.4
"53",60609,"NEW CITY",37,"Fuller Park",111.7,9016,40,2876,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,489.9,2.5,1061.9,"1556.4",0,55.5,4.5,38.2,33.7
"54",60609,"MCKINLEY PARK",37,"Fuller Park",111.7,9016,40,2876,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,489.9,2.5,1061.9,"1556.4",0,55.5,4.5,38.2,33.7
"55",60609,"FULLER PARK",37,"Fuller Park",111.7,9016,40,2876,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,489.9,2.5,1061.9,"1556.4",0,55.5,4.5,38.2,33.7
"56",60609,"NEW CITY",59,"McKinley Park",61.4,17577,11.9,8843,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8
"57",60609,"MCKINLEY PARK",59,"McKinley Park",61.4,17577,11.9,8843,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8
"58",60609,"FULLER PARK",59,"McKinley Park",61.4,17577,11.9,8843,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0,51.7,529.6,0.8,141.4,".",11.5,16.1,6.9,33.7,31.8
"59",60609,"NEW CITY",63,"Gage Park",65,12014,14,1288,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1
"60",60609,"MCKINLEY PARK",63,"Gage Park",65,12014,14,1288,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1
"61",60609,"FULLER PARK",63,"Gage Park",65,12014,14,1288,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1
"62",60609,"NEW CITY",40,"Washington Park",88.2,13087,23.2,57,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26,258,31.9,88.2,39.5,19.3,79.8,67,43.3,502.4,0.4,2145.8,"2058",5,39.1,4.9,40.9,28.3
"63",60609,"MCKINLEY PARK",40,"Washington Park",88.2,13087,23.2,57,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26,258,31.9,88.2,39.5,19.3,79.8,67,43.3,502.4,0.4,2145.8,"2058",5,39.1,4.9,40.9,28.3
"64",60609,"FULLER PARK",40,"Washington Park",88.2,13087,23.2,57,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26,258,31.9,88.2,39.5,19.3,79.8,67,43.3,502.4,0.4,2145.8,"2058",5,39.1,4.9,40.9,28.3
"65",60609,"NEW CITY",60,"Bridgeport",49.8,24969,11.2,5115,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6
"66",60609,"MCKINLEY PARK",60,"Bridgeport",49.8,24969,11.2,5115,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6
"67",60609,"FULLER PARK",60,"Bridgeport",49.8,24969,11.2,5115,11.7,51.7,8,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8,54.4,15.8,40.1,384.9,0.7,110.8,"65",9.9,17.3,4.8,32.3,25.6
"68",60610,"NEAR NORTH SIDE",8,"Near North Side",27,87163,5.2,37462,10.7,35.9,8.6,69.7,9.6,34,3.7,24,142.7,15.1,27,3.2,6.5,33.6,15.1,22,311.2,0.1,244.4,"235.8",5.5,13.4,2,23.3,3.4
"69",60610,"NEAR NORTH SIDE",7,"Lincoln Park",50.1,71403,4.5,257,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40,27.3,35.3,173.3,0.6,50.3,"93.1",1.2,11.8,0.6,20.4,4.3
"70",60610,"NEAR NORTH SIDE",24,"West Town",107,39596,6,7,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107,6.6,5.1,27.4,16.6,33.3,316.6,0.5,177.5,"182.8",3.6,15.7,2,22.9,13.4
"71",60611,"NEAR NORTH SIDE",8,"Near North Side",27,87163,5.2,28718,10.7,35.9,8.6,69.7,9.6,34,3.7,24,142.7,15.1,27,3.2,6.5,33.6,15.1,22,311.2,0.1,244.4,"235.8",5.5,13.4,2,23.3,3.4
"72",60612,"NEAR WEST SIDE",27,"East Garfield Park",97.3,13596,16.4,10111,19.4,80.8,17.5,73.2,16.3,93.2,38.4,21.7,236.8,24.8,97.3,37.1,11,56.3,78.1,47.5,503.7,0.9,2325.1,"1730.2",13.6,39.7,7.5,43.2,26.2
"73",60612,"EAST GARFIELD PARK",27,"East Garfield Park",97.3,13596,16.4,10111,19.4,80.8,17.5,73.2,16.3,93.2,38.4,21.7,236.8,24.8,97.3,37.1,11,56.3,78.1,47.5,503.7,0.9,2325.1,"1730.2",13.6,39.7,7.5,43.2,26.2
"74",60612,"NEAR WEST SIDE",23,"Humboldt Park",94.1,13391,12.3,1157,19.2,80.7,12.3,70.9,11.7,77.9,29,26.3,211.1,26.6,94.1,22.7,9.8,48,52.5,53.5,447.7,1.3,1234.7,"937.5",9.7,32.6,11.2,38.3,36.8
"75",60612,"EAST GARFIELD PARK",23,"Humboldt Park",94.1,13391,12.3,1157,19.2,80.7,12.3,70.9,11.7,77.9,29,26.3,211.1,26.6,94.1,22.7,9.8,48,52.5,53.5,447.7,1.3,1234.7,"937.5",9.7,32.6,11.2,38.3,36.8
"76",60612,"NEAR WEST SIDE",24,"West Town",107,39596,6,4951,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107,6.6,5.1,27.4,16.6,33.3,316.6,0.5,177.5,"182.8",3.6,15.7,2,22.9,13.4
"77",60612,"EAST GARFIELD PARK",24,"West Town",107,39596,6,4951,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107,6.6,5.1,27.4,16.6,33.3,316.6,0.5,177.5,"182.8",3.6,15.7,2,22.9,13.4
"78",60612,"NEAR WEST SIDE",28,"Near West Side",62.3,41488,10.7,15619,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2
"79",60612,"EAST GARFIELD PARK",28,"Near West Side",62.3,41488,10.7,15619,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,"466.5",14.1,21.6,3.8,22.9,11.2
"80",60612,"NEAR WEST SIDE",29,"North Lawndale",99.2,12548,18.5,1634,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,"2236.3",9.3,38.6,7.2,40.9,30.4
"81",60612,"EAST GARFIELD PARK",29,"North Lawndale",99.2,12548,18.5,1634,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,"2236.3",9.3,38.6,7.2,40.9,30.4
"82",60613,"LAKE VIEW",3,"Uptown",80,32355,7.7,13161,13.1,50.5,8.3,77.7,10.3,35.1,5.4,21.3,183.3,20.5,80,4.6,6.5,50.5,25.2,41.7,353.7,0.5,170.8,"468.7",13.6,22.7,4.6,22.2,13.6
"83",60613,"UPTOWN",3,"Uptown",80,32355,7.7,13161,13.1,50.5,8.3,77.7,10.3,35.1,5.4,21.3,183.3,20.5,80,4.6,6.5,50.5,25.2,41.7,353.7,0.5,170.8,"468.7",13.6,22.7,4.6,22.2,13.6
"84",60613,"NORTH CENTER",3,"Uptown",80,32355,7.7,13161,13.1,50.5,8.3,77.7,10.3,35.1,5.4,21.3,183.3,20.5,80,4.6,6.5,50.5,25.2,41.7,353.7,0.5,170.8,"468.7",13.6,22.7,4.6,22.2,13.6
"85",60613,"LAKE VIEW",5,"North Center",49.8,51615,4.5,3944,22.4,76.2,9.1,80.4,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6,178.1,0.9,85.4,"188.6",1.9,7.1,0.2,25.5,5.4
"86",60613,"UPTOWN",5,"North Center",49.8,51615,4.5,3944,22.4,76.2,9.1,80.4,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6,178.1,0.9,85.4,"188.6",1.9,7.1,0.2,25.5,5.4
"87",60613,"NORTH CENTER",5,"North Center",49.8,51615,4.5,3944,22.4,76.2,9.1,80.4,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6,178.1,0.9,85.4,"188.6",1.9,7.1,0.2,25.5,5.4
"88",60613,"LAKE VIEW",6,"Lake View",38.5,58227,4.7,31176,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13,38.5,1.8,2.2,32.5,17,24.4,179.2,0.4,81.8,"357.6",3.2,10.5,1.2,16.5,2.9
"89",60613,"UPTOWN",6,"Lake View",38.5,58227,4.7,31176,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13,38.5,1.8,2.2,32.5,17,24.4,179.2,0.4,81.8,"357.6",3.2,10.5,1.2,16.5,2.9
"90",60613,"NORTH CENTER",6,"Lake View",38.5,58227,4.7,31176,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13,38.5,1.8,2.2,32.5,17,24.4,179.2,0.4,81.8,"357.6",3.2,10.5,1.2,16.5,2.9
"91",60614,"LINCOLN PARK",5,"North Center",49.8,51615,4.5,301,22.4,76.2,9.1,80.4,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6,178.1,0.9,85.4,"188.6",1.9,7.1,0.2,25.5,5.4
"92",60614,"LINCOLN PARK",7,"Lincoln Park",50.1,71403,4.5,63545,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40,27.3,35.3,173.3,0.6,50.3,"93.1",1.2,11.8,0.6,20.4,4.3
"93",60614,"LINCOLN PARK",22,"Logan Square",75.7,29026,7.5,1054,18.2,63.5,7.2,78.2,9.4,66.1,8.6,9.2,148.7,13.7,75.7,10.2,4.3,37.7,17.5,31.9,364.4,0.9,209,"159.3",8.4,17.2,3.2,26.7,18.5
"94",60614,"LINCOLN PARK",6,"Lake View",38.5,58227,4.7,1717,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13,38.5,1.8,2.2,32.5,17,24.4,179.2,0.4,81.8,"357.6",3.2,10.5,1.2,16.5,2.9
"95",60615,"HYDE PARK",39,"Kenwood",45.5,37519,11,11820,12.2,51.1,11.4,77.6,11.9,25.7,15.2,30.9,196.4,34.2,45.5,17.4,8.9,49.1,46.2,31.5,397.9,0.4,610.2,"549.1",0,23.1,2.3,34.2,10.8
"96",60615,"KENWOOD",39,"Kenwood",45.5,37519,11,11820,12.2,51.1,11.4,77.6,11.9,25.7,15.2,30.9,196.4,34.2,45.5,17.4,8.9,49.1,46.2,31.5,397.9,0.4,610.2,"549.1",0,23.1,2.3,34.2,10.8
"97",60615,"HYDE PARK",40,"Washington Park",88.2,13087,23.2,3269,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26,258,31.9,88.2,39.5,19.3,79.8,67,43.3,502.4,0.4,2145.8,"2058",5,39.1,4.9,40.9,28.3
